,model_name,temp_uncertainty,test_error,test_std,Hour
0,linears,0,84.88651103310808,0.0,0
1,linears,1,81.74505247738294,0.9334122905180191,0
2,linears,2,85.4524996159343,1.9379529597593372,0
3,linears,3,91.29238244759861,2.9686073636323327,0
4,linears,4,98.89629639030967,3.500432194057466,0
5,linears,5,106.95442225337334,3.8865978771644065,0
6,linears,6,116.95692269488602,4.506594540489809,0
7,linears,7,126.40271980622919,5.485910419944588,0
8,linears,8,138.77449232144272,6.256069774917103,0
9,linears,9,147.99772033641776,7.261283905052868,0
10,linears,10,160.89462964137687,7.416279004354345,0
11,ridges,0,85.17778209049938,0.0,0
12,ridges,1,82.01055240740509,0.914378013085529,0
13,ridges,2,85.50020799609761,2.0036092797764424,0
14,ridges,3,92.26799976216738,2.793486111201046,0
15,ridges,4,98.34543572642335,3.542286423577166,0
16,ridges,5,107.23235234078739,4.042734239434644,0
17,ridges,6,115.9288006380576,4.3077168406749555,0
18,ridges,7,125.8633461250202,5.781300389153801,0
19,ridges,8,137.50100819699594,6.536432401739438,0
20,ridges,9,147.44068839401749,6.348603474751492,0
21,ridges,10,159.0476241018647,7.828379677254276,0
22,lassos,0,85.63346944417229,0.0,0
23,lassos,1,83.02496174550092,1.0261684074897377,0
24,lassos,2,86.52770806482087,1.8827139551612808,0
25,lassos,3,92.06109847145841,2.6619677250475333,0
26,lassos,4,99.45251796168046,3.4181900552960034,0
27,lassos,5,108.07907296558251,4.181966988694564,0
28,lassos,6,116.6208907687899,4.98990323270592,0
29,lassos,7,125.44411615503992,5.495935991491192,0
30,lassos,8,135.699432852845,5.786175799772839,0
31,lassos,9,148.59638360445905,8.039364029096188,0
32,lassos,10,160.12611944268855,8.498407417304223,0
33,xgb_best_per_hour,0,109.63399255638964,0.0,0
34,xgb_best_per_hour,1,105.8837488209379,1.3553679641469087,0
35,xgb_best_per_hour,2,113.69695947485607,2.4036728117704196,0
36,xgb_best_per_hour,3,122.88101990739273,3.4136975743270495,0
37,xgb_best_per_hour,4,131.68353834144358,4.4043587450473165,0
38,xgb_best_per_hour,5,138.4247506388436,5.270676314470173,0
39,xgb_best_per_hour,6,147.29946698576762,5.904040828314855,0
40,xgb_best_per_hour,7,152.87368206636523,6.535348894195637,0
41,xgb_best_per_hour,8,159.04080564679944,6.947960285923499,0
42,xgb_best_per_hour,9,163.4606393279672,7.505568712541173,0
43,xgb_best_per_hour,10,167.5821458704694,7.245326307254075,0
44,xgb_best_max_hour,0,110.84036222599634,0.0,0
45,xgb_best_max_hour,1,107.24929492795141,1.4648828865721186,0
46,xgb_best_max_hour,2,114.61466311775271,2.604317116571489,0
47,xgb_best_max_hour,3,122.85915615029266,3.6497183867316725,0
48,xgb_best_max_hour,4,130.16397953022283,4.106189289471645,0
49,xgb_best_max_hour,5,138.81527731242375,5.330432323546433,0
50,xgb_best_max_hour,6,143.87648167862102,5.841894077416867,0
51,xgb_best_max_hour,7,149.29499749650392,6.399168880979426,0
52,xgb_best_max_hour,8,154.66613087901644,5.855019196231725,0
53,xgb_best_max_hour,9,158.82898195284,7.120206663176119,0
54,xgb_best_max_hour,10,161.50926357682064,7.7023036851911675,0
55,lin_xgb_best_per_hour,0,81.34180296131737,0.0,0
56,lin_xgb_best_per_hour,1,78.47677681067806,1.0443976931853942,0
57,lin_xgb_best_per_hour,2,84.23087372368737,1.8292823807907985,0
58,lin_xgb_best_per_hour,3,92.60933297648609,2.9787102136621724,0
