,model_name,temp_uncertainty,test_error,test_std
0,linears,0,156.861845381802,0.0
1,linears,1,159.52393503889917,0.430728002749951
2,linears,2,164.1226500324653,0.9474640506688448
3,linears,3,171.88769198871574,1.3840203101655295
4,linears,4,182.6534574286961,1.7358306250055895
5,linears,5,196.0013811295629,2.235551447897252
6,linears,6,212.49065101096062,2.6447622588514
7,linears,7,231.25073971743674,3.4215813310444694
8,linears,8,252.05189944479216,4.139313733390211
9,linears,9,274.5056411920494,4.6496270278743586
10,linears,10,299.7712751667317,4.785937668405089
11,ridges,0,158.3153238062652,0.0
12,ridges,1,160.60234866978146,0.4977882842291998
13,ridges,2,164.92286625843496,0.9663671858111521
14,ridges,3,172.26229143663363,1.3476579099222779
15,ridges,4,182.3991131116734,1.771527915438717
16,ridges,5,195.25317818847319,2.295826796593426
17,ridges,6,211.49161146664184,3.066557336407725
18,ridges,7,228.7499219921977,3.4610403036830286
19,ridges,8,249.1095469657834,3.832713237955619
20,ridges,9,270.51307727998505,5.007102292702649
21,ridges,10,294.27921944874646,5.05621447504516
22,lassos,0,157.93150888929588,0.0
23,lassos,1,160.2188909760145,0.525653311462511
24,lassos,2,164.3094714476246,0.8113594384828927
25,lassos,3,171.02845187742707,1.5256747912358093
26,lassos,4,180.64051956146832,1.6395694374771255
27,lassos,5,192.99231303975307,2.131405116318787
28,lassos,6,207.45753415270522,2.594243885066336
29,lassos,7,225.60616422883527,2.7501796708740485
30,lassos,8,243.25710236196844,3.9659050075887103
31,lassos,9,264.5294409421094,4.304271500800274
32,lassos,10,286.4792093639398,4.2351881289945155
33,xgb_best_per_hour,0,155.9035407284064,0.0
34,xgb_best_per_hour,1,161.3400897409233,0.8443685510826527
35,xgb_best_per_hour,2,169.9508042494321,1.4084454792440433
36,xgb_best_per_hour,3,181.82844143754872,2.1581782157906737
37,xgb_best_per_hour,4,194.25877815562293,2.1709978582618126
38,xgb_best_per_hour,5,207.53311358283034,2.816012883350138
39,xgb_best_per_hour,6,219.6278042037954,3.387620264539065
40,xgb_best_per_hour,7,230.5620008873735,3.4775133808841243
41,xgb_best_per_hour,8,240.38850797340234,3.9292520930271833
42,xgb_best_per_hour,9,250.1491631348867,4.117110271692981
43,xgb_best_per_hour,10,259.50932324655236,4.6289245275162285
44,xgb_best_max_hour,0,155.5454877672669,0.0
45,xgb_best_max_hour,1,161.8029256443671,0.8045412467494742
46,xgb_best_max_hour,2,170.72903943709312,1.4604023513651285
47,xgb_best_max_hour,3,182.73253440679127,1.874130580725701
48,xgb_best_max_hour,4,195.5507832706013,2.570468435257842
49,xgb_best_max_hour,5,208.0908154307386,2.6470821671234885
50,xgb_best_max_hour,6,220.360078251831,2.691527781556801
51,xgb_best_max_hour,7,232.15841209336003,3.402416759409161
52,xgb_best_max_hour,8,241.61189527604162,3.9468855822450477
53,xgb_best_max_hour,9,250.83572789986476,3.730677117292554
54,xgb_best_max_hour,10,259.16079873339567,3.7203686446013298
55,lin_xgb_best_per_hour,0,147.75634809754166,0.0
56,lin_xgb_best_per_hour,1,157.47306525907123,0.9968982673197805
57,lin_xgb_best_per_hour,2,168.8660265609521,1.7101432261657716
58,lin_xgb_best_per_hour,3,184.82409328655987,1.9541250962933032
59,lin_xgb_best_per_hour,4,204.30540130646608,2.6496503352920824
60,lin_xgb_best_per_hour,5,226.63278768339444,3.3869208609370554
61,lin_xgb_best_per_hour,6,250.36338705539717,3.5660719255527615
62,lin_xgb_best_per_hour,7,275.11027718487816,5.127841417509816
63,lin_xgb_best_per_hour,8,300.9673748224108,5.077245864037162
64,lin_xgb_best_per_hour,9,327.9675883845103,5.6165391872822825
65,lin_xgb_best_per_hour,10,355.6890264409267,5.935524932106995
66,lin_xgb_best_max_hour,0,146.99759620241497,0.0
67,lin_xgb_best_max_hour,1,156.58380544992747,0.9687095275253044
68,lin_xgb_best_max_hour,2,167.90355661282766,1.4779935828638
69,lin_xgb_best_max_hour,3,184.1372809152936,1.9346634400043037
70,lin_xgb_best_max_hour,4,203.24332912177158,2.5489006721725804
71,lin_xgb_best_max_hour,5,224.726162034842,3.2596431525128295
72,lin_xgb_best_max_hour,6,248.64969083383173,4.1171666869971
73,lin_xgb_best_max_hour,7,273.157573986386,4.446598968201332
74,lin_xgb_best_max_hour,8,298.7112848412164,4.853346141408093
75,lin_xgb_best_max_hour,9,325.73184059918486,5.157099568415199
76,lin_xgb_best_max_hour,10,354.7238986542754,6.013485637241613
