,model_name,temp_uncertainty,test_error,test_std
0,linears,0,227.4073403926858,0.0
1,linears,1,235.18775981466294,1.4722459895518838
2,linears,2,239.3295404386799,2.977483603273824
3,linears,3,245.65066019353262,3.8840316537036577
4,linears,4,255.21097247350357,5.336298355906471
5,linears,5,263.1937414233086,6.602438227476876
6,linears,6,275.4487643666723,7.33274161237914
7,linears,7,287.8297520790779,8.177725992930897
8,linears,8,298.7237060431411,9.237111769115481
9,linears,9,311.6766006257625,10.618487353763618
10,linears,10,325.1160795645639,9.648746162694376
11,ridges,0,229.28556917938582,0.0
12,ridges,1,236.30522531482774,1.406521780611166
13,ridges,2,240.6512611476019,2.6693145848061444
14,ridges,3,246.69246221605562,3.545634108840021
15,ridges,4,255.63088733721798,4.84048543500833
16,ridges,5,265.1355775368758,6.252987821720043
17,ridges,6,276.56497220509556,6.705314214704778
18,ridges,7,288.4345674968148,8.148768000301535
19,ridges,8,300.5112622377171,9.068902034660296
20,ridges,9,311.8958829324167,10.651403912215876
21,ridges,10,324.4851201582632,10.10087648452787
22,lassos,0,229.49630492338557,0.0
23,lassos,1,236.24119537143804,1.336755598257414
24,lassos,2,240.42322290349256,2.4043998916159177
25,lassos,3,247.12976090936908,4.187622083867175
26,lassos,4,255.9589475452698,4.803427814436522
27,lassos,5,265.9751266765347,6.718161930477712
28,lassos,6,276.58901895140053,7.002471252899778
29,lassos,7,287.58514832213064,7.900316263173538
30,lassos,8,301.46113467364785,9.632402435328661
31,lassos,9,311.9954860208372,9.402636721777343
32,lassos,10,325.1201656805712,10.700806728525185
33,xgb_best_per_hour,0,277.38555368700753,0.0
34,xgb_best_per_hour,1,288.7794767441556,2.872830802722564
35,xgb_best_per_hour,2,307.5372564469739,5.017360863418292
36,xgb_best_per_hour,3,331.119235704181,7.575163611188241
37,xgb_best_per_hour,4,354.7813807697871,10.049889969610204
38,xgb_best_per_hour,5,375.6284943786689,11.09026887838386
39,xgb_best_per_hour,6,396.10640891476663,12.597553560630056
40,xgb_best_per_hour,7,411.3871948197145,15.86882898614075
41,xgb_best_per_hour,8,426.5244070302369,14.516323290588808
42,xgb_best_per_hour,9,441.78638030416636,14.92185439434159
43,xgb_best_per_hour,10,452.0906365328898,15.939336339987538
44,xgb_best_max_hour,0,274.1922713569749,0.0
45,xgb_best_max_hour,1,286.80792610008615,2.674683968021035
46,xgb_best_max_hour,2,305.7890237766513,5.367086206389456
47,xgb_best_max_hour,3,327.8707840693238,6.9615916661022155
48,xgb_best_max_hour,4,353.04467221283466,10.044802537364616
49,xgb_best_max_hour,5,372.62874744492046,10.3116941267371
50,xgb_best_max_hour,6,395.83171598083084,14.307513444381868
51,xgb_best_max_hour,7,408.90681269324944,12.038281782888097
52,xgb_best_max_hour,8,421.87949947599134,14.837842198061551
53,xgb_best_max_hour,9,437.32819652867715,16.498456499894715
54,xgb_best_max_hour,10,446.82592571611866,16.504187602610955
55,lin_xgb_best_per_hour,0,195.52104293375103,0.0
56,lin_xgb_best_per_hour,1,214.2604787437415,2.415335712517989
57,lin_xgb_best_per_hour,2,226.20085216231004,4.934795648792006
58,lin_xgb_best_per_hour,3,242.30141930407885,5.691471952436772
59,lin_xgb_best_per_hour,4,259.9861732210678,7.365806559859683
60,lin_xgb_best_per_hour,5,278.1993898964618,8.963307580527628
61,lin_xgb_best_per_hour,6,295.13525819016246,10.361697262780003
62,lin_xgb_best_per_hour,7,311.85360943813157,10.099539593471
63,lin_xgb_best_per_hour,8,327.5185016296075,12.679496421759131
64,lin_xgb_best_per_hour,9,341.681851905451,12.54059948295791
65,lin_xgb_best_per_hour,10,360.76747004680897,14.45740787639315
66,lin_xgb_best_max_hour,0,194.6754579455365,0.0
67,lin_xgb_best_max_hour,1,215.4477614301565,2.5257506146898394
68,lin_xgb_best_max_hour,2,228.31536437679188,4.589238173196294
69,lin_xgb_best_max_hour,3,245.853240547825,6.186671695139178
70,lin_xgb_best_max_hour,4,264.0350500096516,7.745277763355913
71,lin_xgb_best_max_hour,5,282.6824344187595,8.670028474256483
72,lin_xgb_best_max_hour,6,301.27725639755295,10.387810856962007
73,lin_xgb_best_max_hour,7,319.36014865850694,11.067970081267921
74,lin_xgb_best_max_hour,8,336.33056951126787,10.651636543759961
75,lin_xgb_best_max_hour,9,352.7764457913327,11.587297002251901
76,lin_xgb_best_max_hour,10,367.8969158796077,11.385466623982216
