,model_name,train_error,validation_error,validation_std,test_error,test_error_pct_max
0,linears,148.62848111244097,157.54839651367337,8.835425735327787,156.861845381802,3.385751033494539
1,ridges,149.60212513427237,159.82871357421374,9.109033020053804,158.3153238062652,3.41712332843223
2,lassos,149.37186630475733,158.06764579736438,8.695637853424635,157.93150888929588,3.408838957247915
3,xgb_best_per_hour,106.15035207738612,148.89149673262585,9.127179938903685,155.9035407284064,3.3650667111678483
4,xgb_best_max_hour,102.72174704524262,150.18352333621587,9.230270734349281,155.5454877672669,3.3573383934225536
5,lin_xgb_best_per_hour,131.06473761722359,173.8808401028764,18.999787903576138,147.75634809754166,3.1892153701174544
6,lin_xgb_best_max_hour,130.74695281939873,174.93576612441922,19.971552700147406,146.99759620241497,3.1728382517249076
