,model_name,temp_uncertainty,test_error,test_std,Season
0,linears,0,152.74685715183435,0.0,Winter
1,linears,1,159.91977904105747,1.2138298401081284,Winter
2,linears,2,164.83265906219938,2.054243922445443,Winter
3,linears,3,173.5151085882726,2.777337354543263,Winter
4,linears,4,185.64240553700628,4.110968395705858,Winter
5,linears,5,201.10265550755955,4.886491301806793,Winter
6,linears,6,221.8766489112585,5.785052177359149,Winter
7,linears,7,242.89898219709607,5.835389013763662,Winter
8,linears,8,267.76947561006614,8.081638956551464,Winter
9,linears,9,293.9365500434389,9.157178602928882,Winter
10,linears,10,322.47809025286017,10.999441723409342,Winter
11,ridges,0,153.53538700581345,0.0,Winter
12,ridges,1,159.66747979870775,1.2137811493055164,Winter
13,ridges,2,164.58591339681726,2.0431394381949537,Winter
14,ridges,3,172.574513289656,2.9996506590660728,Winter
15,ridges,4,184.1869681288728,3.820280466753973,Winter
16,ridges,5,198.89274261877287,4.50022751612357,Winter
17,ridges,6,217.55537431905907,5.830735364749489,Winter
18,ridges,7,238.67255085092012,7.517412368546721,Winter
19,ridges,8,262.3192944902544,7.736591809485986,Winter
20,ridges,9,286.77625641909833,8.75141258136707,Winter
21,ridges,10,312.27024774591774,9.338727378506926,Winter
22,lassos,0,153.08960920141743,0.0,Winter
23,lassos,1,158.46717901118967,1.0975271364875197,Winter
24,lassos,2,163.15271260989556,1.9779155178698122,Winter
25,lassos,3,170.01104820661783,2.7855941615907205,Winter
26,lassos,4,179.99958444518947,3.8053112174949772,Winter
27,lassos,5,194.6533191163267,4.2921530955886515,Winter
28,lassos,6,212.1087400165175,5.299942813124807,Winter
29,lassos,7,230.75578793884935,6.464455271969524,Winter
30,lassos,8,254.47795987317363,8.13968293392546,Winter
31,lassos,9,277.5577894749477,8.75300149781408,Winter
32,lassos,10,302.75907845963667,10.011978467086168,Winter
33,xgb_best_per_hour,0,137.20711907916254,0.0,Winter
34,xgb_best_per_hour,1,139.2147920236073,1.1279338354055886,Winter
35,xgb_best_per_hour,2,143.25961137063473,1.9387040006096823,Winter
36,xgb_best_per_hour,3,147.82572565148138,2.8190693732499605,Winter
37,xgb_best_per_hour,4,154.49909812274902,2.8515236777563895,Winter
38,xgb_best_per_hour,5,160.11699627474746,3.0611509987221464,Winter
39,xgb_best_per_hour,6,166.49714273273375,3.51061601439155,Winter
40,xgb_best_per_hour,7,171.51611520484965,3.824464427448081,Winter
41,xgb_best_per_hour,8,177.88368267814326,4.274617574404577,Winter
42,xgb_best_per_hour,9,183.93409031443093,4.243317015079172,Winter
43,xgb_best_per_hour,10,188.79188718725166,3.861172732298982,Winter
44,xgb_best_max_hour,0,137.29708143221447,0.0,Winter
45,xgb_best_max_hour,1,140.1805457451781,1.0400244033105814,Winter
46,xgb_best_max_hour,2,143.94229321053592,1.8391323154364223,Winter
47,xgb_best_max_hour,3,149.5323326748536,2.920879864734124,Winter
48,xgb_best_max_hour,4,155.34572081556394,3.2749047323322387,Winter
49,xgb_best_max_hour,5,162.56736421004726,3.5377466283294234,Winter
50,xgb_best_max_hour,6,167.8958512827079,4.038064398821353,Winter
51,xgb_best_max_hour,7,174.08266087925205,4.017882198642225,Winter
52,xgb_best_max_hour,8,178.98674942595696,3.98870133319672,Winter
53,xgb_best_max_hour,9,184.44675521399458,4.653476935466955,Winter
54,xgb_best_max_hour,10,189.27462271177973,4.8930097683171345,Winter
55,lin_xgb_best_per_hour,0,152.80721414458418,0.0,Winter
56,lin_xgb_best_per_hour,1,153.1697584943537,1.4088370896590379,Winter
57,lin_xgb_best_per_hour,2,164.71921699119972,2.8529908321569906,Winter
58,lin_xgb_best_per_hour,3,182.52104085363084,3.5257818774611644,Winter
59,lin_xgb_best_per_hour,4,202.56831667642965,4.549494905297718,Winter
60,lin_xgb_best_per_hour,5,227.14631786944992,5.615287675594859,Winter
61,lin_xgb_best_per_hour,6,252.80742542678723,7.183944330936545,Winter
62,lin_xgb_best_per_hour,7,278.9068535363619,7.71137919131215,Winter
63,lin_xgb_best_per_hour,8,306.38347975036964,8.971819866445736,Winter
64,lin_xgb_best_per_hour,9,338.2687420678174,10.546217032651644,Winter
65,lin_xgb_best_per_hour,10,368.94899342995967,12.229217793986527,Winter
