max_depth,n_estimators,min_child_weight,learning_rate
2,250,10,0.1
3,100,10,0.1
2,250,10,0.1
2,250,20,0.05
4,50,20,0.1
4,50,10,0.1
4,100,10,0.05
3,200,20,0.05
2,150,10,0.1
4,100,10,0.05
2,250,10,0.05
2,250,10,0.05
3,100,10,0.1
2,250,10,0.1
2,250,10,0.05
3,250,10,0.05
2,250,10,0.05
3,150,10,0.1
3,250,10,0.05
3,100,10,0.1
3,250,10,0.1
2,250,10,0.1
4,150,10,0.1
2,250,10,0.1
